Best trial: 815. Best value: 0.0300953: 100%
 1000/1000 [2:01:27<00:00,  7.88s/it]
[I 2025-08-03 12:07:24,002] Trial 11 finished with value: 0.03151435497835024 and parameters: {'min_abs_corr': 0.006870335158516193, 'max_pair_corr': 0.9908767892637692, 'n_estimators': 878, 'learning_rate': 0.010579093827450614, 'max_depth': 6, 'num_leaves': 230, 'min_child_samples': 7, 'min_child_weight': 0.021059567824474008, 'subsample': 0.5955501424862797, 'colsample_bytree': 0.40863971195269444, 'reg_alpha': 0.0022709190440088544, 'reg_lambda': 0.09285426499673327}. Best is trial 10 with value: 0.031206695317438214.
[I 2025-08-03 12:07:28,448] Trial 12 finished with value: 0.0310893208476394 and parameters: {'min_abs_corr': 0.0065645040649531085, 'max_pair_corr': 0.9788063991772168, 'n_estimators': 897, 'learning_rate': 0.010658670448262528, 'max_depth': 7, 'num_leaves': 231, 'min_child_samples': 7, 'min_child_weight': 0.021184724025232454, 'subsample': 0.608256668550915, 'colsample_bytree': 0.41214660923300084, 'reg_alpha': 0.002288665383299621, 'reg_lambda': 0.0919827287321465}. Best is trial 12 with value: 0.0310893208476394.
[I 2025-08-03 12:07:33,169] Trial 13 finished with value: 0.031336666090805286 and parameters: {'min_abs_corr': 0.0065692410918939065, 'max_pair_corr': 0.9990199379250083, 'n_estimators': 854, 'learning_rate': 0.010658671427044821, 'max_depth': 6, 'num_leaves': 229, 'min_child_samples': 7, 'min_child_weight': 0.02026475520562747, 'subsample': 0.5961059522383527, 'colsample_bytree': 0.4093129134540117, 'reg_alpha': 0.0022622624908445613, 'reg_lambda': 0.09809984173320467}. Best is trial 12 with value: 0.0310893208476394.
[I 2025-08-03 12:07:35,544] Trial 14 finished with value: 0.03276923884920554 and parameters: {'min_abs_corr': 0.006530272191234173, 'max_pair_corr': 1.0164972499481324, 'n_estimators': 750, 'learning_rate': 0.01037777586126188, 'max_depth': 4, 'num_leaves': 228, 'min_child_samples': 7, 'min_child_weight': 0.02081783225775471, 'subsample': 0.57962047784954, 'colsample_bytree': 0.37854613584574753, 'reg_alpha': 0.0023208777085761767, 'reg_lambda': 0.0924815601858041}. Best is trial 12 with value: 0.0310893208476394.
[I 2025-08-03 12:07:40,582] Trial 15 finished with value: 0.031113784895887803 and parameters: {'min_abs_corr': 0.006919672595621072, 'max_pair_corr': 0.9652802897365061, 'n_estimators': 986, 'learning_rate': 0.010395163883875787, 'max_depth': 7, 'num_leaves': 220, 'min_child_samples': 7, 'min_child_weight': 0.020040693158708843, 'subsample': 0.6127568875891937, 'colsample_bytree': 0.4118246577091785, 'reg_alpha': 0.0022412402114465758, 'reg_lambda': 0.09521595569347877}. Best is trial 12 with value: 0.0310893208476394.
[I 2025-08-03 12:07:46,431] Trial 16 finished with value: 0.030856701496350593 and parameters: {'min_abs_corr': 0.006939014474160435, 'max_pair_corr': 0.960991046828121, 'n_estimators': 992, 'learning_rate': 0.010281160217801025, 'max_depth': 8, 'num_leaves': 217, 'min_child_samples': 7, 'min_child_weight': 0.02005928171708695, 'subsample': 0.6184968406197061, 'colsample_bytree': 0.4438806288418212, 'reg_alpha': 0.0022160048822581825, 'reg_lambda': 0.09635012879053637}. Best is trial 16 with value: 0.030856701496350593.
[I 2025-08-03 12:07:49,596] Trial 17 finished with value: 0.03230536147233933 and parameters: {'min_abs_corr': 0.006782463745789471, 'max_pair_corr': 0.9644504091535733, 'n_estimators': 1014, 'learning_rate': 0.010155587416489774, 'max_depth': 4, 'num_leaves': 242, 'min_child_samples': 7, 'min_child_weight': 0.019792934761749092, 'subsample': 0.6314883432432016, 'colsample_bytree': 0.4431094130216521, 'reg_alpha': 0.002195360108247979, 'reg_lambda': 0.09637200136316178}. Best is trial 16 with value: 0.030856701496350593.
[I 2025-08-03 12:07:55,531] Trial 18 finished with value: 0.031482726167516066 and parameters: {'min_abs_corr': 0.006559338645932514, 'max_pair_corr': 1.0148078364894777, 'n_estimators': 725, 'learning_rate': 0.008728843111957797, 'max_depth': 8, 'num_leaves': 216, 'min_child_samples': 7, 'min_child_weight': 0.018570690981778843, 'subsample': 0.6128074101544558, 'colsample_bytree': 0.4475115879177171, 'reg_alpha': 0.002059651618003107, 'reg_lambda': 0.09154330153074319}. Best is trial 16 with value: 0.030856701496350593.
[I 2025-08-03 12:08:03,239] Trial 19 finished with value: 0.030772703904682546 and parameters: {'min_abs_corr': 0.0064406690190868445, 'max_pair_corr': 0.9780878299831537, 'n_estimators': 1360, 'learning_rate': 0.010336078516268868, 'max_depth': 8, 'num_leaves': 270, 'min_child_samples': 7, 'min_child_weight': 0.021485855162346253, 'subsample': 0.6669173669969578, 'colsample_bytree': 0.419484908210042, 'reg_alpha': 0.0022086071921725786, 'reg_lambda': 0.0969379406229514}. Best is trial 19 with value: 0.030772703904682546.
[I 2025-08-03 12:08:10,668] Trial 20 finished with value: 0.030947013001575364 and parameters: {'min_abs_corr': 0.005883832470464309, 'max_pair_corr': 0.9457149109546079, 'n_estimators': 1498, 'learning_rate': 0.010000217504654327, 'max_depth': 8, 'num_leaves': 271, 'min_child_samples': 7, 'min_child_weight': 0.02268662264754888, 'subsample': 0.666597152584728, 'colsample_bytree': 0.4474277160845123, 'reg_alpha': 0.0022171098349161064, 'reg_lambda': 0.09674926272937441}. Best is trial 19 with value: 0.030772703904682546.
[I 2025-08-03 12:08:19,169] Trial 21 finished with value: 0.03025798159015493 and parameters: {'min_abs_corr': 0.005864724693717284, 'max_pair_corr': 0.9428961083955464, 'n_estimators': 1491, 'learning_rate': 0.009967190526571138, 'max_depth': 9, 'num_leaves': 271, 'min_child_samples': 7, 'min_child_weight': 0.02162845719754796, 'subsample': 0.6703936393854272, 'colsample_bytree': 0.45093969371072423, 'reg_alpha': 0.0022006061833083645, 'reg_lambda': 0.09639411254525847}. Best is trial 21 with value: 0.03025798159015493.
