Best trial: 961. Best value: 0.0309166: 100%
 1000/1000 [1:01:28<00:00,  1.75s/it]
[I 2025-08-01 09:14:46,250] Trial 12 finished with value: 0.05935656574861955 and parameters: {'min_abs_corr': 0.06542846274213188, 'max_pair_corr': 0.9578097450841216, 'n_estimators': 1487, 'learning_rate': 0.0012111454708039885, 'max_depth': 8, 'min_child_weight': 0.0011168596867624624, 'subsample': 0.892817626462969, 'colsample_bytree': 0.7965134351753719, 'gamma': 0.009139886483242727, 'reg_alpha': 2.133501981834188, 'reg_lambda': 1.5264824504114711}. Best is trial 12 with value: 0.05935656574861955.
[I 2025-08-01 09:14:51,406] Trial 13 finished with value: 0.0587921652434087 and parameters: {'min_abs_corr': 0.06539211555904702, 'max_pair_corr': 0.9525512337364661, 'n_estimators': 1499, 'learning_rate': 0.0037043131747278007, 'max_depth': 20, 'min_child_weight': 0.0011631789971169911, 'subsample': 0.918396495107941, 'colsample_bytree': 0.9985924273739077, 'gamma': 0.09879830791983615, 'reg_alpha': 2.073536588280298, 'reg_lambda': 1.7251647680555984}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:14:54,532] Trial 14 finished with value: 0.08265830199123483 and parameters: {'min_abs_corr': 0.06563575308662925, 'max_pair_corr': 0.9434970693994179, 'n_estimators': 1497, 'learning_rate': 0.0035278039200223924, 'max_depth': 19, 'min_child_weight': 0.0011787605802098843, 'subsample': 0.9662888992289456, 'colsample_bytree': 0.9876553550636465, 'gamma': 0.7079212082617552, 'reg_alpha': 1.9028851853362074, 'reg_lambda': 1.6793204585655834}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:14:56,311] Trial 15 finished with value: 0.08227984255800513 and parameters: {'min_abs_corr': 0.052697632981155575, 'max_pair_corr': 0.922489730488566, 'n_estimators': 1013, 'learning_rate': 0.0026425559784354472, 'max_depth': 19, 'min_child_weight': 33.96223247171424, 'subsample': 0.915539532908223, 'colsample_bytree': 0.7853911713972386, 'gamma': 0.8709551495012346, 'reg_alpha': 0.4922299999468316, 'reg_lambda': 2.1522604145180533}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:14:58,715] Trial 16 finished with value: 0.08456207062932622 and parameters: {'min_abs_corr': 0.07756263008614038, 'max_pair_corr': 0.9520594502903128, 'n_estimators': 1310, 'learning_rate': 0.009150287817171289, 'max_depth': 14, 'min_child_weight': 2.3883540921332163, 'subsample': 0.8966837673142932, 'colsample_bytree': 0.9791395107275169, 'gamma': 0.8261097926553197, 'reg_alpha': 1.7835198485403547, 'reg_lambda': 1.0607640381568577}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:00,767] Trial 17 finished with value: 0.08568559065335644 and parameters: {'min_abs_corr': 0.05263841646512484, 'max_pair_corr': 0.950757722911929, 'n_estimators': 808, 'learning_rate': 0.002042146609652333, 'max_depth': 10, 'min_child_weight': 0.004159106624097071, 'subsample': 0.939750397944035, 'colsample_bytree': 0.5475929567950106, 'gamma': 0.37077316969013907, 'reg_alpha': 4.842615086880607, 'reg_lambda': 2.0995660538178327}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:02,633] Trial 18 finished with value: 0.09959153275747687 and parameters: {'min_abs_corr': 0.081841747945536, 'max_pair_corr': 0.9741487359178576, 'n_estimators': 1125, 'learning_rate': 0.009072505528844435, 'max_depth': 20, 'min_child_weight': 0.018341334565556686, 'subsample': 0.8705381700923641, 'colsample_bytree': 0.833146632701707, 'gamma': 1.241466464122303, 'reg_alpha': 3.034377685788644, 'reg_lambda': 2.231993814100855}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:05,041] Trial 19 finished with value: 0.10762062891295816 and parameters: {'min_abs_corr': 0.058778253012994074, 'max_pair_corr': 0.9322000248356982, 'n_estimators': 1373, 'learning_rate': 0.004563037396040676, 'max_depth': 17, 'min_child_weight': 0.08243138091262803, 'subsample': 0.6966373937104076, 'colsample_bytree': 0.9534939834131906, 'gamma': 2.029402856103728, 'reg_alpha': 1.5338315814759131, 'reg_lambda': 1.0030091995378925}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:06,711] Trial 20 finished with value: 0.10962750663330548 and parameters: {'min_abs_corr': 0.04237828295545003, 'max_pair_corr': 0.9535036059338198, 'n_estimators': 930, 'learning_rate': 0.0020629174156478005, 'max_depth': 7, 'min_child_weight': 0.002658082513406519, 'subsample': 0.8458740452573812, 'colsample_bytree': 0.7323206529792978, 'gamma': 4.913842220836626, 'reg_alpha': 2.2011409451079, 'reg_lambda': 3.802454313970209}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:12,469] Trial 21 finished with value: 0.07571457723295909 and parameters: {'min_abs_corr': 0.07318259376575445, 'max_pair_corr': 0.964026634353, 'n_estimators': 1394, 'learning_rate': 0.00102822375834613, 'max_depth': 9, 'min_child_weight': 0.0012808137710738448, 'subsample': 0.8267482032383899, 'colsample_bytree': 0.8152340070613168, 'gamma': 0.19373065075956497, 'reg_alpha': 2.599068074566679, 'reg_lambda': 1.5868115270530518}. Best is trial 13 with value: 0.0587921652434087.
