Best trial: 92. Best value: 0.030985: 100%
 100/100 [20:07<00:00, 17.40s/it]
[I 2025-07-30 11:07:00,795] Trial 17 finished with value: 0.04039267252271804 and parameters: {'min_abs_corr': 0.09839677078638005, 'max_pair_corr': 0.939192178529861, 'n_estimators': 106, 'max_depth': 38, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 0.8959843449801919, 'bootstrap': False}. Best is trial 13 with value: 0.033472276211870024.
[I 2025-07-30 11:07:09,967] Trial 18 finished with value: 0.037874893985804306 and parameters: {'min_abs_corr': 0.026122903905607127, 'max_pair_corr': 0.9562810774073183, 'n_estimators': 682, 'max_depth': 27, 'min_samples_split': 14, 'min_samples_leaf': 3, 'max_features': 0.754580736340229, 'bootstrap': True}. Best is trial 13 with value: 0.033472276211870024.
[I 2025-07-30 11:07:13,694] Trial 19 finished with value: 0.03569234698778751 and parameters: {'min_abs_corr': 0.058907365782571976, 'max_pair_corr': 0.9716280985704215, 'n_estimators': 347, 'max_depth': 0, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.618212017515188, 'bootstrap': False}. Best is trial 13 with value: 0.033472276211870024.
[I 2025-07-30 11:07:20,902] Trial 20 finished with value: 0.03889591284338847 and parameters: {'min_abs_corr': 0.07581298256185065, 'max_pair_corr': 0.9358001288638649, 'n_estimators': 701, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.9985185233593514, 'bootstrap': False}. Best is trial 13 with value: 0.033472276211870024.
[I 2025-07-30 11:07:25,611] Trial 21 finished with value: 0.03379151450590092 and parameters: {'min_abs_corr': 0.0814167786526439, 'max_pair_corr': 0.9092512794707668, 'n_estimators': 431, 'max_depth': 35, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 0.7500350534650382, 'bootstrap': False}. Best is trial 13 with value: 0.033472276211870024.
[I 2025-07-30 11:07:29,861] Trial 22 finished with value: 0.03312049263605984 and parameters: {'min_abs_corr': 0.08727765312445523, 'max_pair_corr': 0.9151742111859331, 'n_estimators': 371, 'max_depth': 42, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 0.8235114231485356, 'bootstrap': False}. Best is trial 22 with value: 0.03312049263605984.
[I 2025-07-30 11:07:33,733] Trial 23 finished with value: 0.03253622939626134 and parameters: {'min_abs_corr': 0.08910529885309365, 'max_pair_corr': 0.917113951625088, 'n_estimators': 308, 'max_depth': 41, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 0.844823320044914, 'bootstrap': False}. Best is trial 23 with value: 0.03253622939626134.
[I 2025-07-30 11:07:36,789] Trial 24 finished with value: 0.034693200383301176 and parameters: {'min_abs_corr': 0.09043591971634626, 'max_pair_corr': 0.9161578082696956, 'n_estimators': 292, 'max_depth': 50, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_features': 0.8244267823304974, 'bootstrap': False}. Best is trial 23 with value: 0.03253622939626134.
[I 2025-07-30 11:07:42,140] Trial 25 finished with value: 0.0341486085074052 and parameters: {'min_abs_corr': 0.09993288032295838, 'max_pair_corr': 0.9172282456773093, 'n_estimators': 578, 'max_depth': 43, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 0.6743862718477852, 'bootstrap': False}. Best is trial 23 with value: 0.03253622939626134.
[I 2025-07-30 11:07:45,728] Trial 26 finished with value: 0.03502391301391157 and parameters: {'min_abs_corr': 0.08765373121678803, 'max_pair_corr': 0.9190543285079714, 'n_estimators': 350, 'max_depth': 40, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.907123999351993, 'bootstrap': False}. Best is trial 23 with value: 0.03253622939626134.
[I 2025-07-30 11:07:50,564] Trial 27 finished with value: 0.03314394873966896 and parameters: {'min_abs_corr': 0.07113677970723237, 'max_pair_corr': 0.9338510916432015, 'n_estimators': 454, 'max_depth': 47, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 0.5697478761133166, 'bootstrap': False}. Best is trial 23 with value: 0.03253622939626134.
[I 2025-07-30 11:07:54,798] Trial 28 finished with value: 0.03311332545687011 and parameters: {'min_abs_corr': 0.07109499709265216, 'max_pair_corr': 0.9332267241054388, 'n_estimators': 399, 'max_depth': 50, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 0.526716823565492, 'bootstrap': False}. Best is trial 23 with value: 0.03253622939626134.
[I 2025-07-30 11:08:02,396] Trial 29 finished with value: 0.03328516644077842 and parameters: {'min_abs_corr': 0.08898018545192575, 'max_pair_corr': 0.9124362216869023, 'n_estimators': 746, 'max_depth': 49, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.3655987485409165, 'bootstrap': False}. Best is trial 23 with value: 0.03253622939626134.
[I 2025-07-30 11:08:05,100] Trial 30 finished with value: 0.03364267161276239 and parameters: {'min_abs_corr': 0.07705091044304667, 'max_pair_corr': 0.922274169912937, 'n_estimators': 254, 'max_depth': 41, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 0.5113982206371506, 'bootstrap': False}. Best is trial 23 with value: 0.03253622939626134.
[I 2025-07-30 11:08:09,547] Trial 31 finished with value: 0.032469299288272205 and parameters: {'min_abs_corr': 0.0716501865640745, 'max_pair_corr': 0.9355266070296163, 'n_estimators': 398, 'max_depth': 46, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 0.6218015164757249, 'bootstrap': False}. Best is trial 31 with value: 0.032469299288272205.
[I 2025-07-30 11:08:13,662] Trial 32 finished with value: 0.03339436598936278 and parameters: {'min_abs_corr': 0.07176307398537285, 'max_pair_corr': 0.9317398261403249, 'n_estimators': 388, 'max_depth': 45, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 0.5684898496244873, 'bootstrap': False}. Best is trial 31 with value: 0.032469299288272205.
[I 2025-07-30 11:08:14,969] Trial 33 finished with value: 0.033240745326375776 and parameters: {'min_abs_corr': 0.047878495755362335, 'max_pair_corr': 0.9044428261891536, 'n_estimators': 105, 'max_depth': 46, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 0.6946947984013451, 'bootstrap': False}. Best is trial 31 with value: 0.032469299288272205.
[I 2025-07-30 11:08:27,639] Trial 34 finished with value: 0.032662779033047186 and parameters: {'min_abs_corr': 0.06861741217728551, 'max_pair_corr': 0.9223646487602254, 'n_estimators': 1289, 'max_depth': 50, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.21008388449988175, 'bootstrap': False}. Best is trial 31 with value: 0.032469299288272205.
[I 2025-07-30 11:08:39,379] Trial 35 finished with value: 0.03850771065621124 and parameters: {'min_abs_corr': 0.06643117683614663, 'max_pair_corr': 0.922222661555841, 'n_estimators': 1349, 'max_depth': 50, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 0.20351776475052974, 'bootstrap': False}. Best is trial 31 with value: 0.032469299288272205.
[I 2025-07-30 11:08:51,472] Trial 36 finished with value: 0.0328722355623778 and parameters: {'min_abs_corr': 0.054479294779584464, 'max_pair_corr': 0.9388177994299497, 'n_estimators': 1255, 'max_depth': 47, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.31916309903089446, 'bootstrap': False}. Best is trial 31 with value: 0.032469299288272205.
[I 2025-07-30 11:09:03,329] Trial 37 finished with value: 0.03267118304961457 and parameters: {'min_abs_corr': 0.05901582381243263, 'max_pair_corr': 0.9380036987461483, 'n_estimators': 1289, 'max_depth': 40, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.18041161854699472, 'bootstrap': False}. Best is trial 31 with value: 0.032469299288272205.
