Best trial: 431. Best value: 0.0288038: 100%
 1000/1000 [7:52:59<00:00, 29.78s/it]
[I 2025-08-01 09:27:15,424] Trial 14 finished with value: 0.05216389774296535 and parameters: {'min_abs_corr': 0.019964416587195305, 'max_pair_corr': 0.986880415145891, 'iterations': 1674, 'learning_rate': 0.0010506750130181586, 'depth': 6, 'l2_leaf_reg': 6.861051379380694, 'subsample': 0.6011077254505661, 'rsm': 0.6309807418734319, 'bagging_temperature': 0.379580016292726}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:27:29,387] Trial 15 finished with value: 0.031519153802964786 and parameters: {'min_abs_corr': 0.01807318573621923, 'max_pair_corr': 0.9707965084592999, 'iterations': 930, 'learning_rate': 0.04376583173137419, 'depth': 6, 'l2_leaf_reg': 5.538520061611656, 'subsample': 0.6033074733835516, 'rsm': 0.4093062291965363, 'bagging_temperature': 0.6696242694360999}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:29:21,847] Trial 16 finished with value: 0.03190854803748604 and parameters: {'min_abs_corr': 0.023855455035773448, 'max_pair_corr': 0.9759181788412696, 'iterations': 1613, 'learning_rate': 0.007981658053000643, 'depth': 8, 'l2_leaf_reg': 8.205950922561545, 'subsample': 0.6482399184284903, 'rsm': 0.8190582900093191, 'bagging_temperature': 0.013179214380923399}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:29:36,895] Trial 17 finished with value: 0.03754774869307231 and parameters: {'min_abs_corr': 0.007377779581227137, 'max_pair_corr': 0.9887645568125365, 'iterations': 1011, 'learning_rate': 0.005068091489427169, 'depth': 5, 'l2_leaf_reg': 5.860855181022345, 'subsample': 0.5638267243086724, 'rsm': 0.5996944977197007, 'bagging_temperature': 0.6870297216515022}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:30:14,409] Trial 18 finished with value: 0.03063106777047105 and parameters: {'min_abs_corr': 0.032008923497677054, 'max_pair_corr': 0.9622683970119122, 'iterations': 1957, 'learning_rate': 0.07323648011504652, 'depth': 6, 'l2_leaf_reg': 3.3776735691325372, 'subsample': 0.5426500152578743, 'rsm': 0.6764530625578404, 'bagging_temperature': 0.39929464831880623}. Best is trial 18 with value: 0.03063106777047105.
[I 2025-08-01 09:31:41,111] Trial 19 finished with value: 0.03899278809235127 and parameters: {'min_abs_corr': 0.031543134289582095, 'max_pair_corr': 0.9627608203384251, 'iterations': 1510, 'learning_rate': 0.28543932907365643, 'depth': 8, 'l2_leaf_reg': 3.205261547968543, 'subsample': 0.5471058024403759, 'rsm': 0.6721963214501724, 'bagging_temperature': 0.37450911778403134}. Best is trial 18 with value: 0.03063106777047105.
[I 2025-08-01 09:36:00,581] Trial 20 finished with value: 0.03516706796535043 and parameters: {'min_abs_corr': 0.048326375320964544, 'max_pair_corr': 0.9634084395047997, 'iterations': 1994, 'learning_rate': 0.08185694209975167, 'depth': 10, 'l2_leaf_reg': 2.7161740047247798, 'subsample': 0.7674195240307888, 'rsm': 0.5299546454851451, 'bagging_temperature': 0.3778724642450836}. Best is trial 18 with value: 0.03063106777047105.
[I 2025-08-01 09:36:37,477] Trial 21 finished with value: 0.03076591086588907 and parameters: {'min_abs_corr': 0.027934073731294647, 'max_pair_corr': 0.9779290876985756, 'iterations': 1746, 'learning_rate': 0.0420907191271974, 'depth': 6, 'l2_leaf_reg': 4.293151790830884, 'subsample': 0.6370856607038602, 'rsm': 0.6744504010207161, 'bagging_temperature': 0.6201058168016762}. Best is trial 18 with value: 0.03063106777047105.
[I 2025-08-01 09:37:04,058] Trial 22 finished with value: 0.032837869645952436 and parameters: {'min_abs_corr': 0.04010274897499706, 'max_pair_corr': 0.9778007169877181, 'iterations': 1894, 'learning_rate': 0.12457070567838487, 'depth': 5, 'l2_leaf_reg': 4.407189443360613, 'subsample': 0.531539729644655, 'rsm': 0.7107140641956242, 'bagging_temperature': 0.45313587778084835}. Best is trial 18 with value: 0.03063106777047105.
[I 2025-08-01 09:37:37,521] Trial 23 finished with value: 0.030872033229804342 and parameters: {'min_abs_corr': 0.03174755050811971, 'max_pair_corr': 0.9687115070786944, 'iterations': 1614, 'learning_rate': 0.046969909713005485, 'depth': 6, 'l2_leaf_reg': 3.506855571305615, 'subsample': 0.5663998603513306, 'rsm': 0.6767060534617073, 'bagging_temperature': 0.5775770542784776}. Best is trial 18 with value: 0.03063106777047105.
